id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49028787,Entire Suite-Boutique style spacious bachelor,395398228,Luis,,Caledonia-Fairbank,43.68878,-79.45815,Entire home/apt,120,28,8,2022-12-30,0.25,1,180,0,STR-2014-JCRXVM
49043766,The Weston Suite,3916745,Amr,,Weston,43.70442,-79.52629,Entire home/apt,94,3,87,2024-04-28,2.84,1,294,39,STR-2110-GRZHHG
49044479,Clean & Comfortable Studio Downtown Toronto,275077462,Maria,,Waterfront Communities-The Island,43.64405,-79.37559,Entire home/apt,,28,64,2024-03-30,2.25,2,0,52,STR-2010-FYPDPD
49049854,Luxurious 2 Bedroom in the heart of the city!,2640283,Jason,,Wychwood,43.67413,-79.4215,Entire home/apt,275,3,60,2024-04-06,1.61,1,76,6,STR-2102-FPWRVC
49056048,Simple Living space with private washroom,142217983,Wenxiong,,Kensington-Chinatown,43.65699,-79.4004,Private room,65,1,75,2024-04-23,2.05,3,60,29,STR-2204-FYMPHD
49061419,Entire House @ Pine Point & Humber River Trail,44186044,Lily,,Elms-Old Rexdale,43.71434,-79.54965,Entire home/apt,204,28,0,,,1,362,0,
49063783,John and Lina 's House Room F- private washroom,392294428,Yu,,Newtonbrook West,43.7801,-79.43426,Private room,50,28,5,2023-07-02,0.20,6,86,2,
49071786,Monthly Rental Discount 40th+condo beside CN Tower,268448576,Li,,Waterfront Communities-The Island,43.64132,-79.38218,Entire home/apt,,28,13,2024-04-13,0.38,2,0,5,
49073798,50%Monthly Rental Discount.Beautiful 2 Story House,155309789,Nick & Kristine,,Hillcrest Village,43.79321,-79.36463,Entire home/apt,255,28,8,2024-01-09,0.23,2,140,3,
49075348,Monthly Discount! Non shared clean 2 bedroom suite,155309789,Nick & Kristine,,Hillcrest Village,43.7912,-79.36563,Entire home/apt,175,28,14,2024-01-08,0.39,2,187,3,
49075425,Lower Level at Bloor & Christie  - 1BR/1BA,379013088,Sophie,,Annex,43.66642,-79.41942,Entire home/apt,1999,28,1,2021-08-16,0.03,22,90,0,
49089806,Spacious Family Home surrounded by nature,394685216,Bruce,,O'Connor-Parkview,43.7024599,-79.3279655,Entire home/apt,,7,22,2023-08-22,0.65,1,262,7,STR-2104-GQRXVG
49099172,Luxury Townhouse Upper Great Location & Self Check,220623372,Sam,,Clairlea-Birchmount,43.70473,-79.26968,Entire home/apt,96,28,15,2024-04-01,0.50,1,87,7,STR-2206-HCPXVJ
49106440,Stylish Bright Condo - 2 Queen Beds - Free Parking,212877076,Shamim,,Waterfront Communities-The Island,43.63976,-79.39848,Entire home/apt,239,2,40,2024-02-04,1.07,2,20,12,STR-2011-HHJKVJ
49111360,Stay Sophisticated in Downtown  Deluxe Queen Suite,307585712,Pantages Hotel,,Church-Yonge Corridor,43.65351,-79.37833,Private room,,1,55,2023-09-15,1.51,3,275,3,Approved by government
49127045,Beaches Toronto Staycation -Waterfront Steps Away,28299455,Deanne,,The Beaches,43.67026,-79.29405,Entire home/apt,176,28,1,2024-04-09,1,6,277,1,
49128933,Modern 1-BR Condo in DT Toronto,785826,Sky View,,Bay Street Corridor,43.64893,-79.38622,Entire home/apt,,28,2,2024-01-06,0.16,51,0,1,
49130789,SUNNY & PRIVATE Room in shared basement by Humber,66274966,Payal,,West Humber-Clairville,43.726463,-79.585869,Private room,45,28,8,2023-08-01,0.23,13,251,1,
49137995,Luxury Little Italy 3 Bedroom Home with Garden,30605069,Paula A,,Palmerston-Little Italy,43.65661,-79.42259,Entire home/apt,,4,24,2024-04-03,0.79,1,5,4,STR-2011-HZRRVM
49138370,Riverdale Guest Suite with Free parking,248902482,Rachel,,North Riverdale,43.67347,-79.3534,Entire home/apt,101,28,95,2023-09-08,2.92,1,92,4,STR-2204-FMRBHC
49144714,Luxury in Leslieville -- Main House,20975368,Ellen,,South Riverdale,43.67342,-79.33013,Entire home/apt,216,28,8,2023-08-27,0.22,1,89,2,STR-2104-GHKXVF
49153122,Entire house - 3 Bedrooms + gorgeous backyard.,1648401,Brett,,Dovercourt-Wallace Emerson-Junction,43.66313,-79.43107,Entire home/apt,140,28,0,,,1,88,0,
49154235,Spacious Loft in Downtown Toronto,35208985,Hossein,,Church-Yonge Corridor,43.65512,-79.37646,Entire home/apt,90,28,31,2024-04-21,1.35,7,180,15,STR-2104-GRHKVG
49154313,Private cozy home,7166342,Ana,,Stonegate-Queensway,43.63308,-79.48581,Entire home/apt,,28,3,2021-08-31,0.09,1,0,0,
